method,description,day_index,calendar_time,remaining_fixings_after_today,train_states,validation_states,train_scenarios_per_fit_target,train_scenarios_used,train_paths_per_state,benchmark_paths_per_state,max_rel,p99_rel,p95_rel,mae,max_abs,median_noise_ratio,avg_train_stderr,avg_benchmark_stderr
raw_2d_log_chebyshev,2D log Chebyshev degree 7,0,0.0,11,15,9,10000000,10000005,666667,500000,0.003781911307144804,0.003695901071626927,0.0033518601295554197,0.030528017719339336,0.13776685642339714,58.90544508092679,0.00022547966018173716,0.00026424551720661914
forward_grid_2d_log_chebyshev,"Forward-coordinate 2D log Chebyshev degree 9, boundary-enriched tensor grid",0,0.0,11,74,9,10000000,10000064,135136,500000,0.19678778766901417,0.18107933859523334,0.11824554230010999,1.6474408520713304,14.817428180027427,1.4595104391572509,0.0004188937793468491,0.00026424551720661914
forward_grid_2d_hybrid,"Forward-coordinate 2D hybrid degrees 9/9, boundary-enriched tensor grid",0,0.0,11,74,9,10000000,10000064,135136,500000,0.01705493096798251,0.015858124534748386,0.011070898801811894,0.0316090133846188,0.22002406124016183,1.4595104391572509,0.0004188937793468491,0.00026424551720661914
forward_halton_2d_log_chebyshev,"Forward-coordinate 2D log Chebyshev degree 9, Halton global/boundary state sampling",0,0.0,11,360,9,10000000,10000080,27778,500000,0.20963191397547756,0.1929351798440159,0.12614824331816926,1.7607168779246698,15.784545709705256,8.396070074429367,0.0009047004080509467,0.00026424551720661914
forward_halton_2d_hybrid,"Forward-coordinate 2D hybrid degrees 9/9, Halton global/boundary state sampling",0,0.0,11,360,9,10000000,10000080,27778,500000,0.008717878523296963,0.008067256981995589,0.005464770816790091,0.014002934963441772,0.11246853134117885,1.9601593061228784,0.0009047004080509467,0.00026424551720661914
adjusted_moneyness_hybrid,"1D adjusted-moneyness hybrid: log value degree 19, log time-value degree 19",0,0.0,11,61,9,10000000,10000035,163935,500000,0.005226888438815481,0.004854608937987204,0.003365490934674098,0.008815247531944858,0.06743159641727203,1.5692787566276145,0.00044609621577324985,0.00026424551720661914
raw_2d_log_chebyshev,2D log Chebyshev degree 7,3,0.2727272727272727,8,165,63,10000000,10000155,60607,500000,0.03495046025255068,0.03256066476070969,0.023900924357060368,0.13015065750103894,1.9414902538166032,86.69281453224788,0.0003803006053280962,0.00013459607751106154
forward_grid_2d_log_chebyshev,"Forward-coordinate 2D log Chebyshev degree 9, boundary-enriched tensor grid",3,0.2727272727272727,8,1628,63,10000000,10000804,6143,500000,0.17704062653401142,0.16465863790381796,0.14692815930128794,0.7571747541763454,8.071042762891203,243.13063464535546,0.0010397862277694444,0.00013459607751106154
forward_grid_2d_hybrid,"Forward-coordinate 2D hybrid degrees 9/9, boundary-enriched tensor grid",3,0.2727272727272727,8,1628,63,10000000,10000804,6143,500000,0.14823583470740978,0.09068674609360011,0.04040673677619613,0.01598202554215315,0.2151260473545067,35.81314169245145,0.0010397862277694444,0.00013459607751106154
forward_halton_2d_log_chebyshev,"Forward-coordinate 2D log Chebyshev degree 9, Halton global/boundary state sampling",3,0.2727272727272727,8,360,63,10000000,10000080,27778,500000,1.6812124130180246,1.5277659921383182,0.6437892180037431,3.5511062761068692,72.28890353435483,179.49777686926055,0.00047721263554577104,0.00013459607751106154
forward_halton_2d_hybrid,"Forward-coordinate 2D hybrid degrees 9/9, Halton global/boundary state sampling",3,0.2727272727272727,8,360,63,10000000,10000080,27778,500000,0.17134985585920637,0.1368012835430022,0.037187565972930235,0.042964108147824136,1.5271708145561593,29.16001425317328,0.00047721263554577104,0.00013459607751106154
adjusted_moneyness_hybrid,"1D adjusted-moneyness hybrid: log value degree 19, log time-value degree 19",3,0.2727272727272727,8,230,63,10000000,10000170,43479,500000,0.024541465101113057,0.023414259995994748,0.020483460696393146,0.008519615227924437,0.0844971779665471,23.95597644544287,0.0003581291201427582,0.00013459607751106154
raw_2d_log_chebyshev,2D log Chebyshev degree 7,6,0.5454545454545454,5,165,63,10000000,10000155,60607,500000,0.4116926983130576,0.3390401638879388,0.26159496264100335,0.9981073320871982,16.96293199219759,979.6395582081611,0.00013951675565642527,4.950417651298787e-05
forward_grid_2d_log_chebyshev,"Forward-coordinate 2D log Chebyshev degree 9, boundary-enriched tensor grid",6,0.5454545454545454,5,1628,63,10000000,10000804,6143,500000,0.226191820339175,0.21400442163006755,0.16204092034250894,0.5902631365792855,4.216304823366428,1469.7286698783903,0.0004080538724555469,4.950417651298787e-05
forward_grid_2d_hybrid,"Forward-coordinate 2D hybrid degrees 9/9, boundary-enriched tensor grid",6,0.5454545454545454,5,1628,63,10000000,10000804,6143,500000,0.2004460482511913,0.18033894183026633,0.14203242326167,0.03608535216741067,0.4734312760239714,181.0154849478926,0.0004080538724555469,4.950417651298787e-05
forward_halton_2d_log_chebyshev,"Forward-coordinate 2D log Chebyshev degree 9, Halton global/boundary state sampling",6,0.5454545454545454,5,360,63,10000000,10000080,27778,500000,0.8608337341538819,0.5723456924050858,0.28720910319877563,0.9102117801923095,8.144694028820247,1480.6566467970108,0.00018600475460511123,4.950417651298787e-05
forward_halton_2d_hybrid,"Forward-coordinate 2D hybrid degrees 9/9, Halton global/boundary state sampling",6,0.5454545454545454,5,360,63,10000000,10000080,27778,500000,0.9593539515026294,0.6153280904180805,0.33210143986376855,0.1823375285897775,3.878418588541411,190.13049620509577,0.00018600475460511123,4.950417651298787e-05
adjusted_moneyness_hybrid,"1D adjusted-moneyness hybrid: log value degree 19, log time-value degree 19",6,0.5454545454545454,5,230,63,10000000,10000170,43479,500000,0.021286371524233155,0.01932413600967711,0.015315803031555303,0.006248051615532057,0.07020132245424371,25.916967182440043,0.00014683700271161075,4.950417651298787e-05
raw_2d_log_chebyshev,2D log Chebyshev degree 7,9,0.8181818181818182,2,165,63,10000000,10000155,60607,500000,3.780986473170154,3.1872650632350332,2.1064455509220625,3.6448324031976336,25.396190356674904,6821.648010411627,1.153701914025094e-05,4.395786542742497e-06
forward_grid_2d_log_chebyshev,"Forward-coordinate 2D log Chebyshev degree 9, boundary-enriched tensor grid",9,0.8181818181818182,2,1628,63,10000000,10000804,6143,500000,3.4435702534596686,3.1962241910504625,2.4971852879916794,6.189441202549671,38.944097312606075,12026.948808471292,4.9837286011987495e-05,4.395786542742497e-06
forward_grid_2d_hybrid,"Forward-coordinate 2D hybrid degrees 9/9, boundary-enriched tensor grid",9,0.8181818181818182,2,1628,63,10000000,10000804,6143,500000,1.1989890137155645,1.0437940510491375,0.8971150917638309,0.15980732865775676,4.988992093299281,1.3491404094209898,4.9837286011987495e-05,4.395786542742497e-06
forward_halton_2d_log_chebyshev,"Forward-coordinate 2D log Chebyshev degree 9, Halton global/boundary state sampling",9,0.8181818181818182,2,360,63,10000000,10000080,27778,500000,3.0523209050788553,2.81889315068291,1.8480167231034665,5.818344902016168,39.00498668806051,12994.359592135957,2.336468490693698e-05,4.395786542742497e-06
forward_halton_2d_hybrid,"Forward-coordinate 2D hybrid degrees 9/9, Halton global/boundary state sampling",9,0.8181818181818182,2,360,63,10000000,10000080,27778,500000,3.6407402851861628,3.22124116353606,0.9416466291923224,0.3881068228177494,12.333736982441055,4.67116396470094,2.336468490693698e-05,4.395786542742497e-06
adjusted_moneyness_hybrid,"1D adjusted-moneyness hybrid: log value degree 19, log time-value degree 19",9,0.8181818181818182,2,230,63,10000000,10000170,43479,500000,0.0108976199238143,0.009460948248444989,0.007442354085792367,0.0014063247720588483,0.03570306725544903,2.1654507664660154,2.7715442773696276e-05,4.395786542742497e-06
raw_2d_log_chebyshev,2D log Chebyshev degree 7,11,1.0,0,165,63,10000000,10000155,60607,500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_grid_2d_log_chebyshev,"Forward-coordinate 2D log Chebyshev degree 9, boundary-enriched tensor grid",11,1.0,0,1628,63,10000000,10000804,6143,500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_grid_2d_hybrid,"Forward-coordinate 2D hybrid degrees 9/9, boundary-enriched tensor grid",11,1.0,0,1628,63,10000000,10000804,6143,500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_halton_2d_log_chebyshev,"Forward-coordinate 2D log Chebyshev degree 9, Halton global/boundary state sampling",11,1.0,0,360,63,10000000,10000080,27778,500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_halton_2d_hybrid,"Forward-coordinate 2D hybrid degrees 9/9, Halton global/boundary state sampling",11,1.0,0,360,63,10000000,10000080,27778,500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjusted_moneyness_hybrid,"1D adjusted-moneyness hybrid: log value degree 19, log time-value degree 19",11,1.0,0,165,63,10000000,10000155,60607,500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
